gene_id,acronym,gene_name,ise_id,plane,entrez,valid
54614,4930529M08Rik,RIKEN cDNA 4930529M08 gene,69442335,sagittal,78774,True
45504,Ddx51,DEAD (Asp-Glu-Ala-Asp) box polypeptide 51,70946450,sagittal,69663,True
37591,Rcl1,RNA terminal phosphate cyclase-like 1,69079978,sagittal,59028,True
45032,Dym,dymeclin,564764,sagittal,69190,True
88556,Oxgr1,oxoglutarate (alpha-ketoglutarate) receptor 1,69860841,sagittal,239283,True
91789,Olfr1494,olfactory receptor 1494,73653332,sagittal,258992,True
74989,Chrna3,"cholinergic receptor, nicotinic, alpha polypeptide 3",72119655,coronal,110834,True
74989,Chrna3,"cholinergic receptor, nicotinic, alpha polypeptide 3",69734723,sagittal,110834,True
89198,Olfr684,olfactory receptor 684,74734842,sagittal,244187,True
89304,C2cd4a,C2 calcium-dependent domain containing 4A,74736093,sagittal,244911,True
27500,Lsm2,"LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)",68301114,sagittal,27756,True
21674,Tmpo,thymopoietin,77456079,sagittal,21917,True
47322,Alpk1,alpha-kinase 1,76080943,sagittal,71481,True
120311,LOC381597,similar to spermatogenic cell-specific gene 2,70596095,sagittal,381597,True
14640,Gstm3,"glutathione S-transferase, mu 3",68920779,sagittal,14864,True
52218,Gm9734,predicted gene 9734,70609221,sagittal,76377,True
12548,Cmas,cytidine monophospho-N-acetylneuraminic acid synthetase,67767470,sagittal,12764,True
20427,Sox10,SRY-box containing gene 10,75694718,sagittal,20665,True
20427,Sox10,SRY-box containing gene 10,79556652,coronal,20665,True
82052,Mtmr4,myotubularin related protein 4,68862084,sagittal,170749,True
70052,Ugt3a1,"UDP glycosyltransferases 3 family, polypeptide A1",70593126,sagittal,105887,True
20716,Vamp7,vesicle-associated membrane protein 7,71724738,sagittal,20955,True
82051,BC017612,cDNA sequence BC017612,71654134,sagittal,170748,True
48672,Dhx30,DEAH (Asp-Glu-Ala-His) box polypeptide 30,68342366,sagittal,72831,True
11328,Adora2b,adenosine A2b receptor,69855773,sagittal,11541,True
35724,Actr10,ARP10 actin-related protein 10 homolog (S. cerevisiae),74990519,sagittal,56444,True
35724,Actr10,ARP10 actin-related protein 10 homolog (S. cerevisiae),64,coronal,56444,True
52583,Snx27,sorting nexin family member 27,70812954,sagittal,76742,True
52583,Snx27,sorting nexin family member 27,72002038,sagittal,76742,True
88394,Usp32,ubiquitin specific peptidase 32,70302938,sagittal,237898,True
20229,Sin3a,"transcriptional regulator, SIN3A (yeast)",69816852,sagittal,20466,True
51454,Med25,"mediator of RNA polymerase II transcription, subunit 25 homolog (yeast)",545109,sagittal,75613,True
35458,Bace2,beta-site APP-cleaving enzyme 2,143,coronal,56175,True
35458,Bace2,beta-site APP-cleaving enzyme 2,144,sagittal,56175,True
106909,Auts2,autism susceptibility candidate 2,73808468,sagittal,319974,True
106909,Auts2,autism susceptibility candidate 2,79591687,coronal,319974,True
106909,Auts2,autism susceptibility candidate 2,79904156,sagittal,319974,True
87051,Pars2,prolyl-tRNA synthetase (mitochondrial)(putative),69059867,sagittal,230577,True
52690,Eif2c4,"eukaryotic translation initiation factor 2C, 4",75931524,sagittal,76850,True
66378,Snapc2,"small nuclear RNA activating complex, polypeptide 2",80526202,sagittal,102209,True
66378,Snapc2,"small nuclear RNA activating complex, polypeptide 2",79568055,coronal,102209,True
16535,Lad1,ladinin,68342396,sagittal,16763,True
16535,Lad1,ladinin,77910759,sagittal,16763,True
87128,Slc30a2,"solute carrier family 30 (zinc transporter), member 2",74821946,sagittal,230810,True
14509,Gpc1,glypican 1,73994669,coronal,14733,True
14509,Gpc1,glypican 1,69734536,sagittal,14733,True
27985,Slco1a1,"solute carrier organic anion transporter family, member 1a1",69838239,sagittal,28248,True
33153,Rwdd2b,RWD domain containing 2B,68076532,sagittal,53858,True
33153,Rwdd2b,RWD domain containing 2B,1588,sagittal,53858,True
33153,Rwdd2b,RWD domain containing 2B,1587,coronal,53858,True
86235,Wdr36,WD repeat domain 36,69169570,sagittal,225348,True
49033,Xpot,"exportin, tRNA (nuclear export receptor for tRNAs)",70195060,sagittal,73192,True
63803,Lphn2,latrophilin 2,1769,sagittal,99633,True
63803,Lphn2,latrophilin 2,1768,coronal,99633,True
122395,Tas2r110,"taste receptor, type 2, member 110",70785164,sagittal,387344,True
43023,Yipf5,"Yip1 domain family, member 5",67978648,sagittal,67180,True
17706,Naga,"N-acetyl galactosaminidase, alpha",68301186,sagittal,17939,True
51372,1700025H01Rik,RIKEN cDNA 1700025H01 gene,71919577,sagittal,75531,True
85118,Gm525,predicted gene 525,70295727,sagittal,217071,True
12859,Cyp1b1,"cytochrome P450, family 1, subfamily b, polypeptide 1",68667222,sagittal,13078,True
19752,Rpl7,ribosomal protein L7,68410596,sagittal,19989,True
84299,Pla2g4b,"phospholipase A2, group IVB (cytosolic)",68193066,sagittal,211429,True
49145,1700034J04Rik,RIKEN cDNA 1700034J04 gene,74357887,sagittal,73304,True
106957,Ccdc79,coiled-coil domain containing 79,71493230,sagittal,320022,True
110314,Pramel4,preferentially expressed antigen in melanoma like 4,70300899,sagittal,347710,True
47925,Pigx,"phosphatidylinositol glycan anchor biosynthesis, class X",71610788,sagittal,72084,True
42290,Mgst3,microsomal glutathione S-transferase 3,68441640,sagittal,66447,True
42290,Mgst3,microsomal glutathione S-transferase 3,71015350,coronal,66447,True
42078,Eif1ax,"eukaryotic translation initiation factor 1A, X-linked",74988539,coronal,66235,True
42078,Eif1ax,"eukaryotic translation initiation factor 1A, X-linked",70473885,sagittal,66235,True
92611,Robo2,roundabout homolog 2 (Drosophila),71281319,sagittal,268902,True
92611,Robo2,roundabout homolog 2 (Drosophila),75080998,coronal,268902,True
50027,Ccdc3,coiled-coil domain containing 3,68844056,sagittal,74186,True
50027,Ccdc3,coiled-coil domain containing 3,75651160,coronal,74186,True
106497,9630028B13Rik,RIKEN cDNA 9630028B13 gene,69447798,sagittal,319562,True
16837,Ly6c1,"lymphocyte antigen 6 complex, locus C1",100144900,sagittal,17067,True
86935,Clcc1,chloride channel CLIC-like 1,633659,sagittal,229725,True
14576,Gria2,"glutamate receptor, ionotropic, AMPA2 (alpha 2)",70919471,sagittal,14800,True
14576,Gria2,"glutamate receptor, ionotropic, AMPA2 (alpha 2)",68924793,sagittal,14800,True
14576,Gria2,"glutamate receptor, ionotropic, AMPA2 (alpha 2)",75551462,coronal,14800,True
43315,Mtfr1,mitochondrial fission regulator 1,587437,sagittal,67472,True
37025,Noc3l,nucleolar complex associated 3 homolog (S. cerevisiae),69170294,sagittal,57753,True
16362,Uhmk1,U2AF homology motif (UHM) kinase 1,69735831,sagittal,16589,True
51129,Slc35f4,"solute carrier family 35, member F4",71211495,sagittal,75288,True
51129,Slc35f4,"solute carrier family 35, member F4",78534530,sagittal,75288,True
58049,Cenpq,centromere protein Q,68341675,sagittal,83815,True
45482,Wdr20a,WD repeat domain 20A,70919268,sagittal,69641,True
12753,Crygs,"crystallin, gamma S",68919952,sagittal,12970,True
143814,LOC545328,-,77621743,sagittal,545328,True
70722,Ldhal6b,lactate dehydrogenase A-like 6B,69117038,sagittal,106557,True
11710,Neurog2,neurogenin 2,74579503,sagittal,11924,True
